Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,GT-B0353MSV06-06B0201,BTB6_0d35_2_51x1_4x0_41mm,167.633412mm,-96.929976mm,180.0,bottom
J1,~,TOUCH5P_7.8MM,146.254848mm,-96.929997mm,0.0,top
