ID,SKU,Description,Manufacturer,MPN,Designator,Qty,Board,Category,Populate,LCSC_PN,JLC_Status,Stock_Note
21,310060960,SMD IC RF;WLCSP-95;4.4*4.0mm,Nordic,nRF5340-CLAA,U1,1,mainboard,component,yes,C3606597,Extended,Out of stock — backup: DigiKey 5765-NRF5340-CLAA-R-ND
22,310091605,SMD IC Memory;16Mbit-SPI-USON-8-2*3mm,Puya,P25Q16SH-UXH-IR,U12,1,mainboard,component,yes,,N/A,Different suffix variants available; verify package
23,310032919,SMD IC PMIC;Low Noise LDO-3.3V-300mA;XTDFN-1*1-4L,SGMICRO,SGM2036S-3.3XXDH4G/TR,U16,1,mainboard,component,yes,C5152997,Extended,Out of stock
24,310032813,SMD IC PMIC;LDO-1.8V-300mA;XTDFN-1*1-4L,SGMICRO,SGM2036S-1.8XXDH4G/TR,U8,1,mainboard,component,yes,C5152991,Extended,In stock
25,310051410,SMD IC Logic;Single 2-Input NAND Gate-SC70-5,SGMICRO,74LVC1G00XC5G/TR,U9,1,mainboard,component,yes,C5153132,Extended,Out of stock
26,314040211,SMD 6 Axis  Acceleration Sensor;LGA-14L,ST,LSM6DS3TR-C,U5,1,mainboard,component,yes,C967633,Extended,In stock
27,303011999,SMD Inductor 10uH-20%-280mA;0603,Sunlord,MWSD1608FE100KT,"L1,L2",2,mainboard,component,yes,,N/A,Not on LCSC
28,320210762,SMD BTB Female CONN;6+4P-0.25;L3.16*W1.5*H0.6mm,Suntech,ST-BTB-K3570606F,J1,1,mainboard,component,yes,,N/A,Not on LCSC
29,312030662,SMD Mic OMNI -41dB;SMD-7P-L3.5*W2.65*H0.98mm,TDK,MMICT5838-00-012,"MIC1,MIC2",2,mainboard,component,yes,,N/A,MMICT5848 variant exists on LCSC; verify compatibility
30,310051453,SMD IC Logic;DSBGA-12,TI,TXS0104EYZTR,U4,1,mainboard,component,yes,C478473,Extended,In stock
31,310033052,"SMD IC PMIC;DCDC Buck-600mA,Vin 1.8V to 5.5V,Vout 1.8V to 3.6V;DSBGA-6",TI,TPS628438YKAR,U13,1,mainboard,component,yes,C18197908,Extended,In stock
32,310031638,SMD IC LOW RON LOAD SWITCH;5.5V-2A;4-DSBGA,TI,TPS22916CYFPR,"U6,U11",2,mainboard,component,yes,C2680319,Extended,In stock
33,310032402,SMD PMIC;BQ25101;1.60mm*0.90mm;DSBGA-6,TI,BQ25101YFPR,U15,1,mainboard,component,yes,C478468,Extended,In stock
34,301010885,SMD RES 5.1K-1%-1/20W;0201,YAGEO,RC0201FR-075K1L,R41,1,mainboard,component,yes,C274341,Extended,In stock
35,301012912,SMD RES 499K-1%-1/20W;0201,Yageo,RC0201FR-07499KL,R10,1,mainboard,component,yes,C138138,Extended,In stock
36,301013740,SMD RES 330R-1%-1/20W;0201,YAGEO,RC0201FR-07330RL,R24,1,mainboard,component,yes,C274872,Extended,In stock
37,301010753,SMD RES 2.2K-1%-1/20W;0201,YAGEO,RC0201FR-072K2L,"R1,R3,R19,R31,R33",5,mainboard,component,yes,C142018,Extended,In stock
38,301013554,SMD RES 249K-1%-1/20W;0201,YAGEO,RC0201FR-07249KL,"R18,R20",2,mainboard,component,yes,C273273,Extended,In stock
39,301011319,SMD RES 200K-1%-1/20W;0201,YAGEO,RC0201FR-07200KL,"R42,R43,R44",3,mainboard,component,yes,C138163,Extended,In stock
40,301012633,SMD RES 1MR-1%-1/20W;0201,Yageo,RC0201FR-071ML,R9,1,mainboard,component,yes,C295786,Extended,In stock
41,301010523,SMD RES 1K-±1%-1/20W;0201,YAGEO,RC0201FR-071KL,"R8,R29",2,mainboard,component,yes,C138165,Extended,In stock
42,301010526,SMD RES 10K-±1%-1/20W;0201,YAGEO,RC0201FR-0710KL,"R2,R4,R5,R6,R11,R12,R26,R27,R32,R38,R39,R40",12,mainboard,component,yes,C106225,Extended,In stock
43,301010765,SMD RES 100K-±1%-1/20W;0201,YAGEO,RC0201FR-07100KL,"R7,R13,R14,R15,R16,R17,R23,R30",8,mainboard,component,yes,C106224,Extended,In stock
