Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C0402,212.409167mm,-100.388176mm,0.0,top
C2,22uF,C0805,209.55mm,-105.3084mm,180.0,top
D3,TPD1E10B06DPYR,ESD-0402,211.830839mm,-105.386672mm,90.0,top
PP1,GA62-PG308,POGOPIN1_2.3X2.3X4MM,206.3709mm,-103.0315mm,180.0,top
PP2,GA62-PG308,POGOPIN1_2.3X2.3X4MM,209.571mm,-103.0315mm,180.0,top
R1,280K,R0402,212.772287mm,-105.386896mm,-90.0,top
R2,280K,R0402,210.573663mm,-100.38716mm,180.0,top
U1,TPS25200DRVR,DRV6-0.65-2x2x0.8mm,212.454503mm,-102.743264mm,90.0,top
